Date,y_true,y_pred
2019-10-28,6.934758210214972e-07,8.767124852940305e-05
2019-10-29,1.0550084755962986e-05,8.767124852940305e-05
2019-10-30,9.165384685903555e-06,8.767124852940305e-05
2019-10-31,9.24661205279582e-05,8.767124852940305e-05
2019-11-01,1.3669626544903332e-05,8.767124852940305e-05
2019-11-04,1.4075513946139038e-06,8.767124852940305e-05
2019-11-05,4.931558943697989e-07,8.767124852940305e-05
2019-11-06,7.433121972628213e-06,8.767124852940305e-05
2019-11-07,6.540310846653125e-06,8.767124852940305e-05
2019-11-08,3.858849339945703e-06,8.767124852940305e-05
2019-11-11,2.44429241893321e-06,8.767124852940305e-05
2019-11-12,5.05921471988603e-07,8.767124852940305e-05
2019-11-13,7.000545310853327e-07,8.767124852940305e-05
2019-11-14,5.876799722470101e-05,8.767124852940305e-05
2019-11-15,2.530354814404949e-07,8.767124852940305e-05
2019-11-18,3.513763910906371e-07,8.767124852940305e-05
2019-11-19,1.4162098889751135e-05,8.767124852940305e-05
2019-11-20,2.5090752810828244e-06,8.767124852940305e-05
2019-11-21,4.720077535091771e-06,8.767124852940305e-05
2019-11-22,5.5939208796183794e-05,8.767124852940305e-05
2019-11-25,4.809966773484263e-06,8.767124852940305e-05
2019-11-26,1.7353353299891585e-05,8.767124852940305e-05
2019-11-27,1.615466179857593e-05,8.767124852940305e-05
2019-11-29,7.514260955253711e-05,8.767124852940305e-05
2019-12-02,4.43586004878798e-05,8.767124852940305e-05
2019-12-03,3.9736099248604574e-05,8.767124852940305e-05
2019-12-04,2.247381542147146e-06,8.767124852940305e-05
2019-12-05,8.270531086191039e-05,8.767124852940305e-05
2019-12-06,1.0035170252498233e-05,8.767124852940305e-05
2019-12-09,1.2045856422251588e-06,8.767124852940305e-05
2019-12-10,8.432853174367565e-06,8.767124852940305e-05
2019-12-11,7.290884055037448e-05,8.767124852940305e-05
2019-12-12,5.267733045959213e-09,8.767124852940305e-05
2019-12-13,5.072802539585306e-05,8.767124852940305e-05
2019-12-16,1.123831947779881e-07,8.767124852940305e-05
2019-12-17,1.8696426036458841e-07,8.767124852940305e-05
2019-12-18,1.979697190046593e-05,8.767124852940305e-05
2019-12-19,2.4330501368933657e-05,8.767124852940305e-05
2019-12-20,7.495554666581708e-07,8.767124852940305e-05
2019-12-23,3.8207466334290144e-08,8.767124852940305e-05
2019-12-24,2.6163863458747377e-05,8.767124852940305e-05
2019-12-26,1.1549217482299194e-09,8.767124852940305e-05
2019-12-27,3.361212029928082e-05,8.767124852940305e-05
2019-12-30,8.653543846118428e-06,8.767124852940305e-05
2019-12-31,6.962058981727568e-05,8.767124852940305e-05
2020-01-02,5.0195940709611095e-05,8.767124852940305e-05
2020-01-03,1.244075322148074e-05,8.767124852940305e-05
2020-01-06,7.880231955568723e-06,8.767124852940305e-05
2020-01-07,2.391673091376176e-05,8.767124852940305e-05
2020-01-08,4.3999529520725245e-05,8.767124852940305e-05
2020-01-09,8.175381972460955e-06,8.767124852940305e-05
2020-01-10,4.833022121470713e-05,8.767124852940305e-05
2020-01-13,2.2972883993327984e-06,8.767124852940305e-05
2020-01-14,3.491106313136428e-06,8.767124852940305e-05
2020-01-15,6.941801510788022e-05,8.767124852940305e-05
2020-01-16,1.4858891314691317e-05,8.767124852940305e-05
2020-01-17,7.051682212864633e-06,8.767124852940305e-05
2020-01-21,8.354082465815695e-08,8.767124852940305e-05
2020-01-22,1.300343827258395e-06,8.767124852940305e-05
2020-01-23,8.250614680000101e-05,8.767124852940305e-05
2020-01-24,0.0002514048828015,8.767124852940305e-05
2020-01-27,0.0001000676814551,8.767124852940305e-05
2020-01-28,7.521228115488135e-07,8.767124852940305e-05
2020-01-29,9.793500678042494e-06,8.767124852940305e-05
2020-01-30,0.0003191383441143,8.767124852940305e-05
2020-01-31,5.225013898564329e-05,8.767124852940305e-05
2020-02-03,0.0002210965558546,8.767124852940305e-05
2020-02-04,0.0001251663913221,8.767124852940305e-05
2020-02-05,1.1023429602538205e-05,8.767124852940305e-05
2020-02-06,2.9327542873541302e-05,8.767124852940305e-05
2020-02-07,5.328547585640191e-05,8.767124852940305e-05
2020-02-10,2.846133268945201e-06,8.767124852940305e-05
2020-02-11,4.149747142901438e-05,8.767124852940305e-05
2020-02-12,2.6626940890200776e-06,8.767124852940305e-05
2020-02-13,3.3923602136836127e-06,8.767124852940305e-05
2020-02-14,8.551027436783932e-06,8.767124852940305e-05
2020-02-18,2.2040661452796533e-05,8.767124852940305e-05
2020-02-19,1.4613933087796364e-05,8.767124852940305e-05
2020-02-20,0.000111805441692,8.767124852940305e-05
2020-02-21,0.0011619971585742,8.767124852940305e-05
2020-02-24,0.0009454336234758,8.767124852940305e-05
2020-02-25,1.4331504225376838e-05,8.767124852940305e-05
2020-02-26,0.0020401605415365,8.767124852940305e-05
2020-02-27,6.843364590056455e-05,8.767124852940305e-05
2020-02-28,0.0020259783073773,8.767124852940305e-05
2020-03-02,0.0008128477505397,8.767124852940305e-05
2020-03-03,0.0017086937784643,8.767124852940305e-05
2020-03-04,0.0011909941046197,8.767124852940305e-05
2020-03-05,0.0002958724625325,8.767124852940305e-05
2020-03-06,0.006242645353008,8.767124852940305e-05
2020-03-09,0.0023246912804283,8.767124852940305e-05
2020-03-10,0.0025102998677906,8.767124852940305e-05
2020-03-11,0.009988973521752,8.767124852940305e-05
2020-03-12,0.007886933144861,8.767124852940305e-05
2020-03-13,0.016295083519639,8.767124852940305e-05
2020-03-16,0.0033903034831493,8.767124852940305e-05
2020-03-17,0.0028326102721901,8.767124852940305e-05
2020-03-18,2.205956361308583e-05,8.767124852940305e-05
