Date,y_true,y_pred
2019-10-29,1.0550084755962986e-05,5.717707676561437e-05
2019-10-30,9.165384685903555e-06,5.717707676561437e-05
2019-10-31,9.24661205279582e-05,5.717707676561437e-05
2019-11-01,1.3669626544903332e-05,5.717707676561437e-05
2019-11-04,1.4075513946139038e-06,5.717707676561437e-05
2019-11-05,4.931558943697989e-07,5.8551597325955024e-05
2019-11-06,7.433121972628213e-06,5.717707676561437e-05
2019-11-07,6.540310846653125e-06,5.717707676561437e-05
2019-11-08,3.858849339945703e-06,5.717707676561437e-05
2019-11-11,2.44429241893321e-06,5.717707676561437e-05
2019-11-12,5.05921471988603e-07,5.717707676561437e-05
2019-11-13,7.000545310853327e-07,5.717707676561437e-05
2019-11-14,5.876799722470101e-05,5.717707676561437e-05
2019-11-15,2.530354814404949e-07,5.717707676561437e-05
2019-11-18,3.513763910906371e-07,5.717707676561437e-05
2019-11-19,1.4162098889751135e-05,5.717707676561437e-05
2019-11-20,2.5090752810828244e-06,5.717707676561437e-05
2019-11-21,4.720077535091771e-06,5.717707676561437e-05
2019-11-22,5.5939208796183794e-05,5.7351573813136384e-05
2019-11-25,4.809966773484263e-06,5.717707676561437e-05
2019-11-26,1.7353353299891585e-05,5.717707676561437e-05
2019-11-27,1.615466179857593e-05,5.717707676561437e-05
2019-11-29,7.514260955253711e-05,5.717707676561437e-05
2019-12-02,4.43586004878798e-05,5.717707676561437e-05
2019-12-03,3.9736099248604574e-05,6.0145602223869535e-05
2019-12-04,2.247381542147146e-06,6.154423352370407e-05
2019-12-05,8.270531086191039e-05,6.651262885146433e-05
2019-12-06,1.0035170252498233e-05,5.902873399863726e-05
2019-12-09,1.2045856422251588e-06,5.717707676561437e-05
2019-12-10,8.432853174367565e-06,5.8144178041921874e-05
2019-12-11,7.290884055037448e-05,5.717707676561437e-05
2019-12-12,5.267733045959213e-09,5.717707676561437e-05
2019-12-13,5.072802539585306e-05,5.717707676561437e-05
2019-12-16,1.123831947779881e-07,5.783451478088111e-05
2019-12-17,1.8696426036458841e-07,5.717707676561437e-05
2019-12-18,1.979697190046593e-05,5.717707676561437e-05
2019-12-19,2.4330501368933657e-05,5.717707676561437e-05
2019-12-20,7.495554666581708e-07,5.717707676561437e-05
2019-12-23,3.8207466334290144e-08,5.717707676561437e-05
2019-12-24,2.6163863458747377e-05,5.717707676561437e-05
2019-12-26,1.1549217482299194e-09,5.717707676561437e-05
2019-12-27,3.361212029928082e-05,5.717707676561437e-05
2019-12-30,8.653543846118428e-06,5.717707676561437e-05
2019-12-31,6.962058981727568e-05,5.717707676561437e-05
2020-01-02,5.0195940709611095e-05,5.927070975368005e-05
2020-01-03,1.244075322148074e-05,5.788671668579267e-05
2020-01-06,7.880231955568723e-06,5.759135921404079e-05
