Model,MSE,QLIKE
baselines,6.442246170125261e-07,2.4733854669813273
lasso,6.448317191702516e-07,2.4720873226919857
mlp,6.6746449421441195e-06,10737.058694820114
random_forest,4.577140060792671e-07,1.5386767528635419
xgboost,5.210349186119301e-07,1.5527282363287074
