model,mse,qlike
"GJR-GARCH(1,1)-normal",4.638149412800353e-07,1.5057052291824407
"GARCH(1,1)-normal",4.683587537663608e-07,1.4625107748536157
"GARCH(1,1)-t",4.808134761929079e-07,1.4620212071109222
"GJR-GARCH(1,1)-t",4.9487632645122e-07,1.5265656840298099
HAR-OLS,5.954588760848484e-07,1.4707446477224373
HistoricalMean,6.404313391809165e-07,2.276109914974489
"ARFIMA-on-RV(d=0.30,p=5,K=200)",6.427398019471525e-07,4.360775526637417
RandomWalk,6.451992921158205e-07,448.57728947446026
