model,mse,qlike
"GARCH(1,1)-normal",4.683587537663608e-07,1.4625107748536157
"GARCH(1,1)-t",4.808134761929079e-07,1.4620212071109222
HAR-OLS,5.954588760848484e-07,1.4707446477224373
HistoricalMean,6.404313391809165e-07,2.276109914974489
RandomWalk,6.451992921158205e-07,448.57728947446026
