Date,RF
2019-10-29,5.7177076765614364e-05
2019-10-30,5.7177076765614364e-05
2019-10-31,5.7177076765614364e-05
2019-11-01,5.7177076765614364e-05
2019-11-04,5.7177076765614364e-05
2019-11-05,5.8551597325955024e-05
2019-11-06,5.7177076765614364e-05
2019-11-07,5.7177076765614364e-05
2019-11-08,5.7177076765614364e-05
2019-11-11,5.7177076765614364e-05
2019-11-12,5.7177076765614364e-05
2019-11-13,5.7177076765614364e-05
2019-11-14,5.7177076765614364e-05
2019-11-15,5.7177076765614364e-05
2019-11-18,5.7177076765614364e-05
2019-11-19,5.7177076765614364e-05
2019-11-20,5.7177076765614364e-05
2019-11-21,5.7177076765614364e-05
2019-11-22,5.7351573813136384e-05
2019-11-25,5.7177076765614364e-05
2019-11-26,5.7177076765614364e-05
2019-11-27,5.7177076765614364e-05
2019-11-29,5.7177076765614364e-05
2019-12-02,5.7177076765614364e-05
2019-12-03,6.0145602223869535e-05
2019-12-04,6.154423352370407e-05
2019-12-05,6.651262885146433e-05
2019-12-06,5.902873399863726e-05
2019-12-09,5.7177076765614364e-05
2019-12-10,5.8144178041921874e-05
2019-12-11,5.7177076765614364e-05
2019-12-12,5.7177076765614364e-05
2019-12-13,5.7177076765614364e-05
2019-12-16,5.7834514780881105e-05
2019-12-17,5.7177076765614364e-05
2019-12-18,5.7177076765614364e-05
2019-12-19,5.7177076765614364e-05
2019-12-20,5.7177076765614364e-05
2019-12-23,5.7177076765614364e-05
2019-12-24,5.7177076765614364e-05
2019-12-26,5.7177076765614364e-05
2019-12-27,5.7177076765614364e-05
2019-12-30,5.7177076765614364e-05
2019-12-31,5.7177076765614364e-05
2020-01-02,5.927070975368005e-05
2020-01-03,5.788671668579267e-05
2020-01-06,5.759135921404079e-05
2020-01-07,5.927070975368005e-05
2020-01-08,6.0619467784565305e-05
2020-01-09,5.7177076765614364e-05
2020-01-10,5.7177076765614364e-05
2020-01-13,5.7177076765614364e-05
2020-01-14,5.7177076765614364e-05
2020-01-15,5.7177076765614364e-05
2020-01-16,5.7177076765614364e-05
2020-01-17,5.7177076765614364e-05
2020-01-21,5.759135921404079e-05
2020-01-22,5.7177076765614364e-05
