Date,MLP
2019-10-29,0.00035931649225012796
2019-10-30,0.0006541121086643398
2019-10-31,0.0004942039982182567
2019-11-01,-0.0003707797740678531
2019-11-04,0.0005645883261894413
2019-11-05,-0.000188851429400283
2019-11-06,0.0017502646217018303
2019-11-07,-0.00021123343608348
2019-11-08,-0.00038195641126459456
2019-11-11,0.00043328935563285986
2019-11-12,0.0005627512761202103
2019-11-13,0.00021518599594780308
2019-11-14,-0.0002675476369447538
2019-11-15,0.0005739206976637101
2019-11-18,0.00022276002455373645
2019-11-19,0.0004336398346001802
2019-11-20,0.0010994867285002985
2019-11-21,-0.00047640322866154827
2019-11-22,-0.00012594668464194214
2019-11-25,-0.00025065367464532917
2019-11-26,0.0004375354121468611
2019-11-27,0.0008819495872078864
2019-11-29,0.0010443207046021419
2019-12-02,-0.00012312412619336355
2019-12-03,0.0003062619842142955
2019-12-04,-0.0009621521656786314
2019-12-05,-0.00073283849223299
2019-12-06,0.00039260603317170517
2019-12-09,0.0017846145473936759
2019-12-10,0.00013925308631462796
2019-12-11,0.0010436864561739756
2019-12-12,-0.0010647342722336917
2019-12-13,0.0003420966443433704
2019-12-16,0.0009495189928749037
2019-12-17,0.0010553969806685326
2019-12-18,-0.00041765297785975597
2019-12-19,0.0009945663825506323
2019-12-20,-0.0004073072043122572
2019-12-23,0.0001624458417160135
2019-12-24,0.0009357828734056772
2019-12-26,0.0004486864484694042
2019-12-27,-0.0001892548148810791
2019-12-30,0.00018014072975772177
2019-12-31,0.0008430593943262177
2020-01-02,-0.00040428667242758953
2020-01-03,-0.0004746443374501197
2020-01-06,0.0013107869337297962
2020-01-07,0.0008761844832843035
2020-01-08,-0.001394074791426586
2020-01-09,0.0011185359639234727
2020-01-10,-0.00022248210281922143
2020-01-13,0.001208995688017911
2020-01-14,0.00057030668238367
2020-01-15,-0.0006416509026972994
2020-01-16,0.00122543110283041
2020-01-17,-0.0005084918020051288
2020-01-21,0.0007246311422772489
2020-01-22,0.001204379216811824
2020-01-23,-0.0001780247227426146
2020-01-24,-0.0005688652489899693
2020-01-27,0.00047856237531374024
2020-01-28,9.09488060468755e-05
2020-01-29,-0.0014890883752906592
2020-01-30,-0.0006833105691663732
2020-01-31,0.0029263547488895814
2020-02-03,-0.0005517058355700155
2020-02-04,8.92099155832271e-05
2020-02-05,-0.0020027871218969706
2020-02-06,0.003029998964779901
2020-02-07,0.001883139843077808
2020-02-10,0.00022869722669563441
2020-02-11,-0.0007371650856771716
2020-02-12,-0.0007124163464226618
2020-02-13,0.0016373668179691658
2020-02-14,-1.3906887017273162e-05
2020-02-18,0.0007269100470139733
2020-02-19,-0.0005692297713902339
2020-02-20,0.00043278797114776335
2020-02-21,-0.00017434389607828837
2020-02-24,0.001070872688135327
2020-02-25,-0.0008296772719554313
2020-02-26,-0.0017262849831513605
2020-02-27,-0.005708026712854308
2020-02-28,-0.00023318121261567404
2020-03-02,0.0017038233736765551
2020-03-03,-0.008393950305164738
2020-03-04,0.004163145681998659
2020-03-05,0.006112823487259722
2020-03-06,-0.006426566330580252
2020-03-09,0.0073251956676495256
2020-03-10,-0.007280960821516053
2020-03-11,-0.014350259197866366
2020-03-12,-0.0040111954876654865
2020-03-13,0.013030828078968548
2020-03-16,-0.015386896724598254
2020-03-17,-0.003014094304791798
2020-03-18,0.009636022275002043
2020-03-19,-0.020198526931583582
2020-03-20,0.002351124399081833
2020-03-23,-0.009946806575202749
2020-03-24,-0.00016317649612912488
2020-03-25,-0.012075484321249191
2020-03-26,0.002164568466599681
2020-03-27,0.014442224681361082
2020-03-30,-0.0055466858922375295
2020-03-31,0.0022969481674978143
2020-04-01,-0.008992585162407474
2020-04-02,0.0064788731183046955
2020-04-03,-0.0057028218706348666
2020-04-06,-0.005400318726477116
2020-04-07,0.0017009252854155443
2020-04-08,-0.0015782263581288758
2020-04-09,0.009841039278300184
2020-04-13,-0.005671571443951778
